Code, Description, Expiry, Date Added, ForceValid,
PlayAllegiance, 3 Ravnica Allegiance Packs, 2020/07/01, 2020/04/15, ,
PlayRavnica, 3 Guilds of Ravnica Packs, 2020/07/01, 2020/04/15, ,
PlayWarSpark, 3 War of the Spark Packs, 2020/07/01, 2020/04/15, ,
OneBillion, 1 War of the Spark Pack, , 2020/04/15, ,
PlayM20, 3 Core Set 2020 Packs, , 2020/04/15, ,
BINGOIVMYTHICCHAMP, 1 Core Set 2020 Pack, , 2020/04/15, ,
PlayEldraine, 3 Throne of Eldraine Packs, 2020/07/01, 2020/04/15, ,
PlayTheros, 3 Theros Beyond Death Packs, 2020/07/01, 2020/04/15, ,
LevelUp, 2000 XP, , 2020/04/15, ,
BroughtBack, 2000 XP, , 2020/04/15, ,
ParallaxPotion, [[Revitalize]] card style, 2023/01/01, 2020/04/15, ,
SuperScry, [[Opt|xln]] card style, 2023/01/01, 2020/04/15, ,
FoilFungus, [[Deathbloom Thallid]] card style, 2023/01/01, 2020/04/15, ,
ShinyGoblinPirate, [[Fanatical Firebrand]] card style, 2023/01/01, 2020/04/15, ,
SparkleDruid, [[Druid of the Cowl]] card style, 2023/01/01, 2020/04/15, ,
OverTheMoon, "[[Arlinn, Voice of the Pack]] card style", 2023/01/01, 2020/04/15, ,
INNERDEMON, "[[Ob Nixilis, the Hate-Twisted]] card style", 2023/01/01, 2020/04/15, ,
SHIELDSUP, "[[Teyo, the Shieldmage]] card style", 2023/01/01, 2020/04/15, ,
WRITTENINSTONE, "[[Nahiri, Storm of Stone]] card style", 2023/01/01, 2020/04/15, ,
ENLIGHTENME, "[[Narset, Parter of Veils]] card style", 2023/01/01, 2020/04/15, ,
